Tool,DOI,Programming_Language,Details,Source,License,Underlying_algorithms,Underlying_assumptions,Strengths_weaknesses,Overall_performance,OxfordNanopore,PacBio,tenxGenomics,BionanoGenomics,HiC,fast5FileProcessing,Basecalling,LongReadOverlapping,DenovoAssembly,Alignment,Scaffolding,GeneratingConsensusSequence,ErrorCorrectionAndPolishing,EvaluatingExisitingMethods,IsoformDetection,BaseModificationDetection,QualityChecking,SNPAndVariantAnalysis,Visualisation,ReadQuantification,SuitableForSingleCellExperiments,TestedOnHumanData,TestedOnNonHumanData,Normalisation,ProvideSummaryStatistics,QualityTrimming,AvailablityOfTestData,Transcriptomics,GapFilling,AnalysisPipelines,Simulators,QualityFiltering,Demultiplexing,Metagenomics,TaxonomicClassification,polyALengthEstimation,RNAStructure,FusionDetection,CoexpressionAnalysis,DataStructures,cfDNActDNA
2passtools,10.1101/2020.05.27.118679,Python,A package for filtering splice junctions extracted from noisy long read alignments generated using minimap2.,https://github.com/bartongroup/2passtools,MIT License,Uses junction alignment metrics and logistic regression on splice junction sequences to classify splice junctions as genuine or spurious,Assumes a canonical intron motif of GT/AG or GC/AG by default (although this can be changed using CLI options),"The filtered spliced junctions can be used to perform second pass alignment with minimap2, feeding in the junctions using the --junc-bed flag.","For simulated nanopore direct RNA sequencing reads, two pass alignment increased the percentage of correctly aligned spliced reads by >15% for Arabidopsis samples and >20% for human samples",True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
3rd-ChimeraMiner,10.1101/2022.08.13.503872,Perl,Analysis of whole genome amplification generated chimeric sequences,https://github.com/dulunar/3rdChimeraMiner,MIT License,,,,,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
abPOA,10.1093/bioinformatics/btaa963,"C, Python, C++",Adaptive banded Partial Order Alignment,https://github.com/yangao07/abPOA,MIT License,It is an extended version of Partial Order Alignment (POA) that performs adaptive banded dynamic programming (DP) with an SIMD implementation,,,abPOA can perform multiple sequence alignment (MSA) on a set of input sequences and generate a consensus sequence by applying the heaviest bundling algorithm to the final alignment graph,True,True,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ABruijn,10.1073/pnas.1604560113,C++,De novo assembler for long reads,https://github.com/bioreps/ABruijn,"BSD 3-Clause ""New"" or ""Revised"" License",,,,,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AccuVIR,10.1093/bioinformatics/btac827,,ACCUrate VIRal genome assembly tool for third-generation sequencing data,https://github.com/rainyrubyzhou/AccuVIR,,,,,,True,True,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Acorde,10.1101/2021.05.07.441841,R,A pipeline that leverages bulk long reads and single-cell data to detect alternative isoform co-expression relationships,https://github.com/ConesaLab/acorde,GNU General Public License v3.0,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
Acorde,10.1038/s41467-022-29497-w,"R, TeX",Isoform co-usage networks from single-cell RNA-seq data,https://github.com/ConesaLab/acorde,GPL-3.0 License,,,,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
AERON,10.1101/2020.01.27.921338,Python,NOT_MAINTAINED:: Tool for transcript quantification and gene-fusion detection using long reads,https://github.com/SchulzLab/Aeron,MIT License,,,,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
Albacore,,"C++, Python",DEPRECATED:: Basecalls from raw signal using recurrent neural networks (RNN) that claim to substantially improve single-read and consensus accuracy,https://github.com/nanoporetech/albacore,GNU General Public License v3.0,,,,,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Alfred,10.1093/bioinformatics/bty1007,C++,"interactive multi-sample BAM alignment statistics, feature counting and feature annotation for long- and short-read sequencing",https://github.com/tobiasrausch/alfred/,BSD-3-Clause License,,,,,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
